variant,lane,source_status,measure,income_key,liq_key,profile_year,sample_end_year,pass_count,passing_specs,estimated_paths_available,K_Y_h8,K_G_h8,dsa_margin_2036_cut_pp,direct_dy_margin_2036_cut_pp,dsa_margin_2036_expansion_pp,direct_dy_margin_2036_expansion_pp,best_spec_id,best_features,best_p_wald_y_h8,best_q_wald_y_h8_bh,best_p_wald_y_h8_bonferroni,best_gate_status,best_gate_reason,best_time_ok_count,best_finite_run_share,best_h8_design_nobs,best_h8_condition_number,best_max_abs_feature_corr_h8,best_mahalanobis_support_p,best_max_abs_poland_z,best_robustness_score,operator_reading
tiva_cf2024_cons_paper_credit,tiva_cf2024,mechanical carry-forward of official 2022 TiVA values to 2024,cons,paper,credit,2024,2024,0,,False,,,,,,,F04,log_gdp_pc,0.091947499,0.415052167,1.000000000,FAIL_ROBUSTNESS_GATE,failed_output_interaction_p,3,1.000000000,351,69.665739143,0.000000000,0.991988512,0.010032220,8,no specification passes; best raw-p candidate fails failed_output_interaction_p
tiva_cf2024_cons_paper_deposits,tiva_cf2024,mechanical carry-forward of official 2022 TiVA values to 2024,cons,paper,deposits,2024,2024,0,,False,,,,,,,F04,log_gdp_pc,0.091947499,0.707045235,1.000000000,FAIL_ROBUSTNESS_GATE,failed_output_interaction_p,3,1.000000000,351,69.665739143,0.000000000,0.991988512,0.010032220,8,no specification passes; best raw-p candidate fails failed_output_interaction_p
tiva_cf2024_cons_paper_networth,tiva_cf2024,mechanical carry-forward of official 2022 TiVA values to 2024,cons,paper,networth,2024,2024,1,F03,True,2.104554189,0.746180179,6.270474161,4.029286237,-5.874801595,-4.029286237,F03,liq,0.013043441,0.195651611,0.195651611,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,68.369575168,0.000000000,0.498864470,0.675408538,9,"passes local gate with F03; diagnostic only, not a manuscript promotion"
tiva_cf2024_cons_realppp_credit,tiva_cf2024,mechanical carry-forward of official 2022 TiVA values to 2024,cons,realppp,credit,2024,2024,1,F14,True,-1.123713024,0.658057070,-18.232996757,2.950172203,18.875774081,-2.950172203,F14,debt+liq+log_gdp_pc,0.004103714,0.061555706,0.061555706,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,71.298868759,0.634736709,0.546122761,1.212055371,9,"passes local gate with F14; diagnostic only, not a manuscript promotion"
tiva_cf2024_cons_realppp_deposits,tiva_cf2024,mechanical carry-forward of official 2022 TiVA values to 2024,cons,realppp,deposits,2024,2024,0,,False,,,,,,,F02,debt,0.119829641,0.971110196,1.000000000,FAIL_ROBUSTNESS_GATE,failed_output_interaction_p,3,1.000000000,351,70.735072262,0.000000000,0.831815170,0.212178326,8,no specification passes; best raw-p candidate fails failed_output_interaction_p
tiva_cf2024_cons_realppp_networth,tiva_cf2024,mechanical carry-forward of official 2022 TiVA values to 2024,cons,realppp,networth,2024,2024,1,F03,True,2.104554189,0.746180179,6.270474161,4.029286237,-5.874801595,-4.029286237,F03,liq,0.013043441,0.195651611,0.195651611,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,68.369575168,0.000000000,0.498864470,0.675408538,9,"passes local gate with F03; diagnostic only, not a manuscript promotion"
tiva_cf2024_gfcf_paper_credit,tiva_cf2024,mechanical carry-forward of official 2022 TiVA values to 2024,gfcf,paper,credit,2024,2024,1,F01,True,1.824133163,0.694029346,4.690657560,1.729581960,-4.441347361,-1.729581960,F01,trade,0.003771210,0.056568151,0.056568151,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.880080997,0.000000000,0.843758735,0.196907302,9,"passes local gate with F01; diagnostic only, not a manuscript promotion"
tiva_cf2024_gfcf_paper_deposits,tiva_cf2024,mechanical carry-forward of official 2022 TiVA values to 2024,gfcf,paper,deposits,2024,2024,1,F01,True,1.824133163,0.694029346,4.690657560,1.729581960,-4.441347361,-1.729581960,F01,trade,0.003771210,0.056568151,0.056568151,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.880080997,0.000000000,0.843758735,0.196907302,9,"passes local gate with F01; diagnostic only, not a manuscript promotion"
tiva_cf2024_gfcf_paper_networth,tiva_cf2024,mechanical carry-forward of official 2022 TiVA values to 2024,gfcf,paper,networth,2024,2024,2,F01+F03,True,1.964343676,0.720104763,5.480565861,2.879434098,-5.158074478,-2.879434098,F01,trade,0.003771210,0.056568151,0.056568151,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.880080997,0.000000000,0.843758735,0.196907302,9,"passes local gate with F01+F03; diagnostic only, not a manuscript promotion"
tiva_cf2024_gfcf_realppp_credit,tiva_cf2024,mechanical carry-forward of official 2022 TiVA values to 2024,gfcf,realppp,credit,2024,2024,2,F01+F14,True,0.350210070,0.676043208,-6.771169599,2.339877082,7.217213360,-2.339877082,F01,trade,0.003771210,0.030777853,0.056568151,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.880080997,0.000000000,0.843758735,0.196907302,9,"passes local gate with F01+F14; diagnostic only, not a manuscript promotion"
tiva_cf2024_gfcf_realppp_deposits,tiva_cf2024,mechanical carry-forward of official 2022 TiVA values to 2024,gfcf,realppp,deposits,2024,2024,1,F01,True,1.824133163,0.694029346,4.690657560,1.729581960,-4.441347361,-1.729581960,F01,trade,0.003771210,0.056568151,0.056568151,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.880080997,0.000000000,0.843758735,0.196907302,9,"passes local gate with F01; diagnostic only, not a manuscript promotion"
tiva_cf2024_gfcf_realppp_networth,tiva_cf2024,mechanical carry-forward of official 2022 TiVA values to 2024,gfcf,realppp,networth,2024,2024,2,F01+F03,True,1.964343676,0.720104763,5.480565861,2.879434098,-5.158074478,-2.879434098,F01,trade,0.003771210,0.056568151,0.056568151,PASS_ROBUSTNESS_GATE,all_checks_pass,3,1.000000000,351,70.880080997,0.000000000,0.843758735,0.196907302,9,"passes local gate with F01+F03; diagnostic only, not a manuscript promotion"
