country,year,measure,domestic_value_added_share_pct,import_content_share
BGR,2022,GFCF_VA_SH,49.973000000,0.500270000
ESP,2022,GFCF_VA_SH,61.078000000,0.389220000
SVN,2022,GFCF_VA_SH,54.565000000,0.454350000
POL,2022,GFCF_VA_SH,58.692000000,0.413080000
SVK,2022,GFCF_VA_SH,47.408000000,0.525920000
SWE,2022,GFCF_VA_SH,60.049000000,0.399510000
PRT,2022,GFCF_VA_SH,58.299000000,0.417010000
HRV,2022,GFCF_VA_SH,52.317000000,0.476830000
ROU,2015,GFCF_VA_SH,59.218000000,0.407820000
MLT,2015,GFCF_VA_SH,38.043000000,0.619570000
FIN,2020,GFCF_VA_SH,64.755000000,0.352450000
SWE,2020,GFCF_VA_SH,64.709000000,0.352910000
FRA,2020,GFCF_VA_SH,71.473000000,0.285270000
PRT,2020,GFCF_VA_SH,61.785000000,0.382150000
LVA,2020,GFCF_VA_SH,59.485000000,0.405150000
SVK,2020,GFCF_VA_SH,51.210000000,0.487900000
ITA,2020,GFCF_VA_SH,73.558000000,0.264420000
POL,2020,GFCF_VA_SH,61.106000000,0.388940000
DEU,2020,GFCF_VA_SH,68.737000000,0.312630000
ESP,2020,GFCF_VA_SH,68.488000000,0.315120000
CZE,2020,GFCF_VA_SH,53.718000000,0.462820000
HUN,2020,GFCF_VA_SH,43.566000000,0.564340000
AUT,2020,GFCF_VA_SH,57.940000000,0.420600000
EST,2020,GFCF_VA_SH,47.798000000,0.522020000
SVN,2020,GFCF_VA_SH,57.353000000,0.426470000
LTU,2020,GFCF_VA_SH,57.866000000,0.421340000
GRC,2020,GFCF_VA_SH,61.712000000,0.382880000
IRL,2020,GFCF_VA_SH,16.631000000,0.833690000
BEL,2020,GFCF_VA_SH,48.878000000,0.511220000
NLD,2020,GFCF_VA_SH,57.176000000,0.428240000
LUX,2020,GFCF_VA_SH,44.283000000,0.557170000
DNK,2020,GFCF_VA_SH,62.164000000,0.378360000
DNK,2015,GFCF_VA_SH,62.310000000,0.376900000
IRL,2015,GFCF_VA_SH,29.448000000,0.705520000
LUX,2015,GFCF_VA_SH,45.426000000,0.545740000
GRC,2015,GFCF_VA_SH,61.856000000,0.381440000
LTU,2015,GFCF_VA_SH,61.439000000,0.385610000
NLD,2015,GFCF_VA_SH,47.708000000,0.522920000
BEL,2015,GFCF_VA_SH,49.134000000,0.508660000
EST,2015,GFCF_VA_SH,50.022000000,0.499780000
AUT,2015,GFCF_VA_SH,58.538000000,0.414620000
CZE,2015,GFCF_VA_SH,50.064000000,0.499360000
HUN,2015,GFCF_VA_SH,39.764000000,0.602360000
DEU,2015,GFCF_VA_SH,66.197000000,0.338030000
LVA,2015,GFCF_VA_SH,58.622000000,0.413780000
FRA,2015,GFCF_VA_SH,72.157000000,0.278430000
ITA,2015,GFCF_VA_SH,73.734000000,0.262660000
POL,2015,GFCF_VA_SH,62.625000000,0.373750000
FIN,2015,GFCF_VA_SH,64.800000000,0.352000000
ROU,2014,GFCF_VA_SH,58.451000000,0.415490000
ROU,2020,GFCF_VA_SH,61.784000000,0.382160000
HRV,2020,GFCF_VA_SH,55.195000000,0.448050000
BGR,2020,GFCF_VA_SH,50.826000000,0.491740000
CYP,2020,GFCF_VA_SH,52.028000000,0.479720000
MLT,2020,GFCF_VA_SH,39.790000000,0.602100000
