spec_id,features,excluded_country,status,K_Y_h8,K_G_h8
F04,log_gdp_pc,MLT,OK,0.578111581,0.678200870
F04,log_gdp_pc,NLD,OK,0.672603644,0.689964552
F04,log_gdp_pc,POL,OK,0.638769962,0.689347053
F04,log_gdp_pc,PRT,OK,0.573610605,0.695384834
F04,log_gdp_pc,ROU,OK,0.741190850,0.681883371
F04,log_gdp_pc,SVK,OK,0.732628478,0.725197444
F04,log_gdp_pc,SVN,OK,0.715689740,0.686683793
F04,log_gdp_pc,SWE,OK,0.641469390,0.688598821
F05,trade+debt,AUT,OK,1.110131372,0.637430217
F05,trade+debt,BEL,OK,1.116014683,0.640598607
F05,trade+debt,BGR,OK,1.251862382,0.638340667
F05,trade+debt,CYP,OK,1.103581003,0.617815986
F05,trade+debt,CZE,OK,1.303634172,0.638034766
F05,trade+debt,DEU,OK,1.168574502,0.638959199
F05,trade+debt,DNK,OK,1.152454542,0.646229693
F05,trade+debt,ESP,OK,0.996213104,0.638501014
F05,trade+debt,EST,OK,1.009795242,0.654299213
F05,trade+debt,FIN,OK,1.163209019,0.647195390
F05,trade+debt,FRA,OK,1.153337050,0.641507667
F05,trade+debt,GRC,OK,1.324753937,0.672855179
F05,trade+debt,HRV,OK,0.985223765,0.609640084
F05,trade+debt,HUN,OK,1.084603533,0.631672466
F05,trade+debt,IRL,OK,1.149518392,0.629651727
F05,trade+debt,ITA,OK,1.050623474,0.626610001
F05,trade+debt,LTU,OK,1.040140375,0.675288599
F05,trade+debt,LUX,OK,1.230977097,0.634549215
F05,trade+debt,LVA,OK,0.752178551,0.593541266
F05,trade+debt,MLT,OK,0.994781351,0.644098099
F05,trade+debt,NLD,OK,1.112469411,0.636897973
F05,trade+debt,POL,OK,1.165032021,0.650844866
F05,trade+debt,PRT,OK,1.083978822,0.632845958
F05,trade+debt,ROU,OK,1.022465258,0.645847784
F05,trade+debt,SVK,OK,1.203202347,0.673115672
F05,trade+debt,SVN,OK,1.129712042,0.633195628
F05,trade+debt,SWE,OK,1.024790507,0.628729949
F06,trade+liq,AUT,OK,1.894292856,0.701156637
F06,trade+liq,BEL,OK,1.851597769,0.700024086
F06,trade+liq,BGR,OK,1.987808369,0.696620085
F06,trade+liq,CYP,OK,1.745840128,0.690914988
F06,trade+liq,CZE,OK,2.155681151,0.713483007
F06,trade+liq,DEU,OK,1.919228328,0.698693709
F06,trade+liq,DNK,OK,1.870058453,0.708571559
F06,trade+liq,ESP,OK,1.737505076,0.696671151
F06,trade+liq,EST,OK,1.836176541,0.720339431
F06,trade+liq,FIN,OK,1.978995829,0.711695174
F06,trade+liq,FRA,OK,1.924696507,0.703211281
F06,trade+liq,GRC,OK,1.741325322,0.687199494
F06,trade+liq,HRV,OK,1.715637754,0.659702753
F06,trade+liq,HUN,OK,1.721447635,0.661307384
F06,trade+liq,IRL,OK,1.908868238,0.692859295
F06,trade+liq,ITA,OK,1.871380786,0.698604057
F06,trade+liq,LTU,OK,1.927115306,0.748991079
F06,trade+liq,LUX,OK,1.945747608,0.694004593
F06,trade+liq,LVA,OK,1.678755741,0.672072237
F06,trade+liq,MLT,OK,1.929567584,0.705663365
F06,trade+liq,NLD,OK,1.797894259,0.690914861
F06,trade+liq,POL,OK,1.861441742,0.704117935
F06,trade+liq,PRT,OK,1.854193498,0.696302163
F06,trade+liq,ROU,OK,1.926649978,0.715736424
F06,trade+liq,SVK,OK,2.017480102,0.753135418
F06,trade+liq,SVN,OK,1.955090768,0.702447746
F06,trade+liq,SWE,OK,1.857266036,0.696178067
F07,trade+log_gdp_pc,AUT,OK,0.264460913,0.621074321
F07,trade+log_gdp_pc,BEL,OK,0.405809743,0.627467772
F07,trade+log_gdp_pc,BGR,OK,0.335584527,0.640993979
F07,trade+log_gdp_pc,CYP,OK,0.421249128,0.606099089
F07,trade+log_gdp_pc,CZE,OK,0.478953553,0.628817481
F07,trade+log_gdp_pc,DEU,OK,0.375358057,0.624266542
F07,trade+log_gdp_pc,DNK,OK,0.372982332,0.611929777
F07,trade+log_gdp_pc,ESP,OK,0.022878958,0.624853832
F07,trade+log_gdp_pc,EST,OK,0.407816908,0.641073776
F07,trade+log_gdp_pc,FIN,OK,0.318859031,0.623878993
F07,trade+log_gdp_pc,FRA,OK,0.284571337,0.621114043
F07,trade+log_gdp_pc,GRC,OK,0.329333249,0.617350144
F07,trade+log_gdp_pc,HRV,OK,0.288748659,0.606560097
F07,trade+log_gdp_pc,HUN,OK,0.285266296,0.611370612
F07,trade+log_gdp_pc,IRL,OK,0.544368044,0.619747978
F07,trade+log_gdp_pc,ITA,OK,0.158202136,0.613380255
F07,trade+log_gdp_pc,LTU,OK,0.297391786,0.646336840
F07,trade+log_gdp_pc,LUX,OK,0.824121775,0.651644475
F07,trade+log_gdp_pc,LVA,OK,0.342603429,0.622461703
F07,trade+log_gdp_pc,MLT,OK,0.206763894,0.624924943
F07,trade+log_gdp_pc,NLD,OK,0.325328369,0.616100277
F07,trade+log_gdp_pc,POL,OK,0.325394288,0.629253945
