country,year,tiva2022_gfcf_import_content_raw,trade_z,liq_fa_net_worth_raw,liq_z,real_ppp_gdp_pc_2020pps,log_real_ppp_gdp_pc_raw,log_gdp_pc_z
HUN,2023,,,-1.11478563962,-0.00427340250726,25383.35679,10.1418489938,-0.178232752335
HUN,2024,,,-1.12649971235,-0.0240614609153,25643.85978,10.1520594371,-0.15161998426
IRL,1995,0.45194,0.224210480597,,,22134.26014,10.0048819197,-0.535227334684
IRL,1996,0.45957,0.299870492636,,,23604.672116,10.0691999424,-0.367587149475
IRL,1997,0.46565,0.360160515336,,,25933.344948,10.1632848694,-0.122361722633
IRL,1998,0.49736,0.674600748857,,,27827.8902,10.2337940414,0.0614152368197
IRL,1999,0.48464,0.548467675051,,,30425.784596,10.3230457054,0.294043120176
IRL,2000,0.47774,0.480046432184,,,32853.775824,10.3998219587,0.494154765019
IRL,2001,0.48815,0.583273263813,-0.992364598998,0.202526978377,34063.711252,10.4359879105,0.588418652487
IRL,2002,0.48014,0.503845125355,-0.827865724397,0.480407559595,35449.171644,10.4758551648,0.692329712224
IRL,2003,0.46393,0.34310478523,-0.834390621039,0.469385343937,35922.027152,10.489105956,0.726866922766
IRL,2004,0.46523,0.355995744031,-0.807621912198,0.514604524856,37697.2654,10.537342835,0.852592792195
IRL,2005,0.47233,0.426400211328,-0.751954707622,0.608640640299,38972.788448,10.5706189495,0.939324531747
IRL,2006,0.46615,0.365118576413,-0.711468221822,0.677032647436,39864.78008,10.5932485083,0.998306808745
IRL,2007,0.49591,0.660222371733,-0.524987643947,0.992045935469,40737.407748,10.6149020586,1.05474519146
IRL,2008,0.51307,0.830383027905,-0.365890123503,1.26080225103,38081.42146,10.5474818165,0.879019300028
IRL,2009,0.61241,1.81545060274,-0.545429233299,0.957514874124,35797.722996,10.4856395669,0.717832035063
IRL,2010,0.662,2.30719110038,-0.676087007212,0.736800548607,36235.59844,10.4977972969,0.749520262211
IRL,2011,0.67617,2.44770255131,-0.66305877297,0.758808561199,36667.227444,10.5096386499,0.780383875918
IRL,2012,0.66392,2.32623005492,-0.706469582764,0.685476624515,36368.647612,10.5014623531,0.759072961027
IRL,2013,0.63103,2.00008879726,-0.720933843461,0.661042796751,36984.546596,10.5182554448,0.802842916658
IRL,2014,0.6546,2.23381179644,-0.88334249774,0.386693131104,40173.97886,10.600974773,1.01844474812
IRL,2015,0.70552,2.73874073655,-0.751938516888,0.608667990581,49604.229328,10.8118313778,1.56802694586
IRL,2016,0.77922,3.46955893934,-0.816157974524,0.500184937085,49612.3497,10.8119950676,1.56845359131
IRL,2017,0.77284,3.40629407999,-0.720134515478,0.662393065711,53849.934596,10.893956468,1.78207993995
